citation,exp,full_reference,
aaltonen_et_al_2016,helsinki_d,aaltonen_h_linden_a_heinonsalo_j_biasi_c_and_pumpanen_j_2017_effects_of_prolonged_drought_stress_on_scots_pine_seedling_carbon_allocation tree_physiology 374_418-427,
aarnio_and_martikainen_1995,62.88_27.67_f,aarnio_t_and_martikainen_p_j_1995_mineralization_of_c_and_n_and_nitrification_in_scots_pine_forest_soil_treated_with_nitrogen_fertilizers_containing_different_proportions_of_urea_and_its_slow-releasing_derivative_ureaformaldehyde_soil_biology_and_biochemistry_https://doiorg/101016/0038-07179500066-n,
adachi_et_al_2014,riceface_shizukuishi_l_2007_c,adachi_et_al_2014_soil_and_water_warming_accelerates_phenology_and_down-regulation_of_leaf_photosynthesis_of_rice_plants_grown_under_free-air_co2_enrichment_face_plant_cell_physiol_552:_370–380_2014,
adachi_et_al_2014,riceface_shizukuishi_l_2007_cw,adachi_et_al_2014_soil_and_water_warming_accelerates_phenology_and_down-regulation_of_leaf_photosynthesis_of_rice_plants_grown_under_free-air_co2_enrichment_face_plant_cell_physiol_552:_370–380_2014,
adachi_et_al_2014,riceface_shizukuishi_l_2007_w,adachi_et_al_2014_soil_and_water_warming_accelerates_phenology_and_down-regulation_of_leaf_photosynthesis_of_rice_plants_grown_under_free-air_co2_enrichment_face_plant_cell_physiol_552:_370–380_2014,
adachi_et_al_2014,riceface_shizukuishi_l_2008_c,adachi_et_al_2014_soil_and_water_warming_accelerates_phenology_and_down-regulation_of_leaf_photosynthesis_of_rice_plants_grown_under_free-air_co2_enrichment_face_plant_cell_physiol_552:_370–380_2014,
adachi_et_al_2014,riceface_shizukuishi_l_2008_cw,adachi_et_al_2014_soil_and_water_warming_accelerates_phenology_and_down-regulation_of_leaf_photosynthesis_of_rice_plants_grown_under_free-air_co2_enrichment_face_plant_cell_physiol_552:_370–380_2014,
adachi_et_al_2014,riceface_shizukuishi_l_2008_w,adachi_et_al_2014_soil_and_water_warming_accelerates_phenology_and_down-regulation_of_leaf_photosynthesis_of_rice_plants_grown_under_free-air_co2_enrichment_face_plant_cell_physiol_552:_370–380_2014,
adair_et_al_2009,biocon_cfs,adair_ec_reich_pb_hobbie_se_and_knops_jm_2009_interactive_effects_of_time_co2_n_and_diversity_on_total_belowground_carbon_allocation_and_ecosystem_carbon_storage_in_a_grassland_community_ecosystems_12_1037-1052,
adair_et_al_2009,biocon_cs,adair_ec_reich_pb_hobbie_se_and_knops_jm_2009_interactive_effects_of_time_co2_n_and_diversity_on_total_belowground_carbon_allocation_and_ecosystem_carbon_storage_in_a_grassland_community_ecosystems_12_1037-1052,
adair_et_al_2009,biocon_fs,adair_ec_reich_pb_hobbie_se_and_knops_jm_2009_interactive_effects_of_time_co2_n_and_diversity_on_total_belowground_carbon_allocation_and_ecosystem_carbon_storage_in_a_grassland_community_ecosystems_12_1037-1052,
