response,description
agb,aboveground_biomass
agb_c,aboveground_biomass_carbon_concentration
agb_cn,aboveground_biomass_carbon_to_nitrogen_ratio
agb_coarse,coarse_tissue_aboveground_biomass
agb_coarse_n,coarse_tissue_aboveground_biomass_nitrogen
agb_cp,aboveground_biomass_carbon_to_phosphorus_ratio
agb_grain_k,grain_potassium
agb_grain_n,grain_nitrogen
agb_grain_p,grain_phosphorus
agb_group,aboveground_biomass_of_plant_species_or_functional_group
agb_group_n,aboveground_biomass_n_of_plant_species_or_functional_group
agb_group_p,aboveground_biomass_p_of_plant_species_or_functional_group
agb_height,plant_height
agb_k,aboveground_biomass_potassium_concentration
agb_k_stock,aboveground_biomass_potassium_stock
agb_litter_c_mineralization,aboveground_litter_carbon_mineralization
agb_n,aboveground_biomass_nitrogen_concentration
agb_n_stock,aboveground_biomass_nitrogen_stock
agb_ndvi,normalized_difference_vegetation_index
agb_np,aboveground_biomass_nitrogen_to_phosphorus_ratio
agb_p,aboveground_biomass_phosphorus_concentration
agb_p_stock,aboveground_biomass_phosphorus_stock
agb_panicle,panicle_biomass
agb_panicle_c,panicle_carbon
agb_panicle_n,panicle_nitrogen
agb_pod,pod_biomass
agb_pod_n,pod_nitrogen
agb_pod_p,pod_phosphorus
agb_wp,plant_wilting_point
agross,gross_photosynthetic_rate
amax,photosynthetic_capacity
anet,net_photosynthetic_rate
anpp,aboveground_net_primary_production
anpp_grain,grain_yield
anpp_group,aboveground_net_primary_production_of_plant_species_or_functional_group
anpp_harvest_index,aboveground_harvest_index
anpp_leaf,leaf_production
anpp_woody,woody_tissue_biomass_production
asat,light-saturated_rate_of_co2_assimilation
ba,basal_area
bai,basal_area_increment
bg_c_allocation,belowground_carbon_allocation
bg_litter_c_mineralization,belowground_litter_carbon_mineralization
bgb,belowground_biomass
bgb_c,belowground_biomass_carbon_concentration
bgb_cn,belowground_biomass_carbon_to_nitrogen_ratio
bgb_coarse,coarse_tissue_belowground_biomass
bgb_group,belowground_biomass_of_plant_species_or_functional_group
bgb_n,belowground_biomass_nitrogen_concentration
bgb_n_stock,belowground_biomass_nitrogen_stock
bgb_p,belowground_biomass_phosphorus
bnpp,belowground_net_primary_production
bpe,biomass_production_efficiency
coarse_root_c_stock,coarse_root_carbon_stock
coarse_root_density,coarse_root_density
coarse_root_n,coarse_root_nitrogen
coarse_root_production,coarse_root_production
cue_eco,ecosystem_carbon_use_efficiency
dbh,diameter_at_breast_height
fine_root_biomass,fine_root_biomass
fine_root_c,fine_root_carbon
fine_root_cn,fine_root_carbon_to_nitrogen_ratio
fine_root_density,fine_root_density
fine_root_growth_respiration,fine_root_growth_respiration
fine_root_k,fine_root_potassium
fine_root_length,fine_root_length
fine_root_maintenance_respiration,fine_root_maintenance_respiration
fine_root_mortality,fine_root_mortality
fine_root_n,fine_root_nitrogen
fine_root_p,fine_root_phosphorus
fine_root_production,fine_root_production
fine_root_respiration,fine_root_respiration
fine_root_turnover,fine_root_turnover
gpp,gross_primary_production
gpp_woody,woody_tissue_gross_primary_production
grain_c,grain_carbon
grain_n,grain_nitrogen
gs,stomatal_conductance
intermediate_root_production,intermediate_root_production
j,leaf_electron_transport_rate
jmax,leaf_maximum_electron_transport_rate
