study,soil_texture,citation,sampling_year,main_rooting_zone_(cm),sand,silt,clay,bd_(g_m3),som_(g_g),soc_(g_g),soil_total_c_(g_g),soil_total_n_(g_g),soil_cn,ph_h2o,ph_cacl2,other_info
oldebroek,sand,sowerby_et_al_2010,NA,80,NA,NA,NA,110000,0.65,NA,NA,NA,22.5,3.9,NA,sandy_podzol
wales,NA,dominguez_et_al_2017,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,4.14,NA,ferric_stagnopodzol
fruebuel,silt_loam,NA,NA,NA,19.2,55.9,24.9,NA,NA,NA,NA,NA,NA,4.3,NA,NA
thuringerschiefer12,silty_clay_loam,NA,NA,10,14.65,50.9,34.45,NA,NA,NA,NA,NA,NA,4.5,NA,NA
fruebuel2,silt_loam,hartmann_&_niklaus_2012,2009,NA,37,56,7,NA,NA,NA,NA,NA,NA,4.7,NA,NA
thuringerschiefer13,silty_clay_loam,NA,NA,10,14.7,53.6,31.7,NA,NA,NA,NA,NA,NA,4.8,NA,NA
gdfr,NA,cleveland_et_al_2006,NA,NA,5,18.8,76.2,NA,NA,NA,0.062,0.005,12.4,4.9,NA,ultisol
alp_weissenstein2,silt_loam,hartmann_&_niklaus_2012,2009,50,35,59,6,NA,NA,NA,NA,NA,NA,5,NA,NA
ufra,NA,vasconcelos_et_al_2012,NA,NA,74,6,20,NA,NA,0.02,NA,0.0015,14.4,5,NA,sombriustox
thuringerschiefer19,loam,NA,NA,10,27.25,48.5,24.25,NA,NA,NA,NA,NA,NA,5,NA,NA
thuringerschiefer10,loam,NA,NA,10,30.6,42.65,26.75,NA,NA,NA,NA,NA,NA,5.03,NA,NA
thuringerschiefer14,clay_loam,NA,NA,10,27.4,45.3,27.3,NA,NA,NA,NA,NA,NA,5.11,NA,NA
thuringerschiefer17,silt_loam,NA,NA,10,22.45,51.55,26,NA,NA,NA,NA,NA,NA,5.27,NA,NA
thuringerschiefer18,loam,NA,NA,10,26.95,47.6,25.45,NA,NA,NA,NA,NA,NA,5.4,NA,NA
