citation,full_reference,exp,,
aaltonen_et_al_2016,"aaltonen,_h,_lindén,_a,_heinonsalo,_j,_biasi,_c,_&_pumpanen,_j_(2017)_Effects_of_prolonged_drought_stress_on_scots_pine_seedling_carbon_allocation tree_physiology, 37(4),_418-427",helsinki_d,,
adachi_et_al_2014,"adachi_et_al,_2014_soil_and_water_warming_accelerates_phenology_and_down-regulation_of_leaf_photosynthesis_of_rice_plants_grown_under_free-air_co2_enrichment_(face)_plant_cell_physiol_55(2):_370–380_(2014)",riceface_shizukuishi_l_2007_c,,
adachi_et_al_2014,"adachi_et_al,_2014_soil_and_water_warming_accelerates_phenology_and_down-regulation_of_leaf_photosynthesis_of_rice_plants_grown_under_free-air_co2_enrichment_(face)_plant_cell_physiol_55(2):_370–380_(2014)",riceface_shizukuishi_l_2007_cw,,
adachi_et_al_2014,"adachi_et_al,_2014_soil_and_water_warming_accelerates_phenology_and_down-regulation_of_leaf_photosynthesis_of_rice_plants_grown_under_free-air_co2_enrichment_(face)_plant_cell_physiol_55(2):_370–380_(2014)",riceface_shizukuishi_l_2007_w,,
adachi_et_al_2014,"adachi_et_al,_2014_soil_and_water_warming_accelerates_phenology_and_down-regulation_of_leaf_photosynthesis_of_rice_plants_grown_under_free-air_co2_enrichment_(face)_plant_cell_physiol_55(2):_370–380_(2014)",riceface_shizukuishi_l_2008_c,,
adachi_et_al_2014,"adachi_et_al,_2014_soil_and_water_warming_accelerates_phenology_and_down-regulation_of_leaf_photosynthesis_of_rice_plants_grown_under_free-air_co2_enrichment_(face)_plant_cell_physiol_55(2):_370–380_(2014)",riceface_shizukuishi_l_2008_cw,,
adachi_et_al_2014,"adachi_et_al,_2014_soil_and_water_warming_accelerates_phenology_and_down-regulation_of_leaf_photosynthesis_of_rice_plants_grown_under_free-air_co2_enrichment_(face)_plant_cell_physiol_55(2):_370–380_(2014)",riceface_shizukuishi_l_2008_w,,
adair_et_al_2009,"adair_ec,_reich_pb,_hobbie_se,_knops_jm_2009_interactive_effects_of_time,_co_2,_n,_and_diversity_on_total_belowground_carbon_allocation_and_ecosystem_carbon_storage_in_a_grassland_community ecosystems, 12(6):_1037-1052",biocon_c,,
adair_et_al_2009,"adair_ec,_reich_pb,_hobbie_se,_knops_jm_2009_interactive_effects_of_time,_co_2,_n,_and_diversity_on_total_belowground_carbon_allocation_and_ecosystem_carbon_storage_in_a_grassland_community ecosystems, 12(6):_1037-1052",biocon_cf,,
adair_et_al_2009,"adair_ec,_reich_pb,_hobbie_se,_knops_jm_2009_interactive_effects_of_time,_co_2,_n,_and_diversity_on_total_belowground_carbon_allocation_and_ecosystem_carbon_storage_in_a_grassland_community ecosystems, 12(6):_1037-1052",biocon_f,,
adair_et_al_2011,"adair_et_al,_2011_elevated_co2_stimulates_grassland_soil_respiration_by_increasing_carbon_inputs_rather_than_by_enhancing_soil_moisture_global_change_biology,_doi:_101111/j1365-2486201102484x",biocon_c,,
adair_et_al_2011,"adair_et_al,_2011_elevated_co2_stimulates_grassland_soil_respiration_by_increasing_carbon_inputs_rather_than_by_enhancing_soil_moisture_global_change_biology,_doi:_101111/j1365-2486201102484x",biocon_cf,,
adair_et_al_2011,"adair_et_al,_2011_elevated_co2_stimulates_grassland_soil_respiration_by_increasing_carbon_inputs_rather_than_by_enhancing_soil_moisture_global_change_biology,_doi:_101111/j1365-2486201102484x",biocon_f,,
adamek_et_al_2011,"adamek_m,_corre_md,_hoelscher_d_2011_responses_of_fine_roots_to_experimental_nitrogen_addition_in_a_tropical_lower_montane_rain_forest,_panama_journal_of_tropical_ecology_27:_73-81",chiriqul_f,,
adamsen_et_al_2005,"adamsen_et_al,_2005_temporal_changes_in_soil_and_biomass_nitrogen_for_irrigated_wheat_grown
under_free-air_carbon_dioxide_enrichment_(face)_agron_j_97:160–168_(2005)",maricopaface_wheat92_c,,
adamsen_et_al_2005,"adamsen_et_al,_2005_temporal_changes_in_soil_and_biomass_nitrogen_for_irrigated_wheat_grown
under_free-air_carbon_dioxide_enrichment_(face)_agron_j_97:160–168_(2005)",maricopaface_wheat92_ci,,
adamsen_et_al_2005,"adamsen_et_al,_2005_temporal_changes_in_soil_and_biomass_nitrogen_for_irrigated_wheat_grown
under_free-air_carbon_dioxide_enrichment_(face)_agron_j_97:160–168_(2005)",maricopaface_wheat92_i,,
adamsen_et_al_2005,"adamsen_et_al,_2005_temporal_changes_in_soil_and_biomass_nitrogen_for_irrigated_wheat_grown
under_free-air_carbon_dioxide_enrichment_(face)_agron_j_97:160–168_(2005)",maricopaface_wheat93_c,,
adamsen_et_al_2005,"adamsen_et_al,_2005_temporal_changes_in_soil_and_biomass_nitrogen_for_irrigated_wheat_grown
under_free-air_carbon_dioxide_enrichment_(face)_agron_j_97:160–168_(2005)",maricopaface_wheat93_ci,,
adamsen_et_al_2005,"adamsen_et_al,_2005_temporal_changes_in_soil_and_biomass_nitrogen_for_irrigated_wheat_grown
under_free-air_carbon_dioxide_enrichment_(face)_agron_j_97:160–168_(2005)",maricopaface_wheat93_i,,
aggeng_et_al_2004,"s_asseng,_pd_jamieson,_b_kimball,_p_pinter,_k_sayre,_jw_bowden,_sm_howden,_simulated_wheat_growth_affected_by_rising_temperature,_increased_water_deficit_and_elevated_atmospheric_co2,
field_crops_research,_volume_85,_issues_2-3,_2004,_pages_85-102,_issn_0378-4290,",maricopaface_wheat93_c,,
agrell_et_al_2005,"agrell_j,_kopper_b,_mcdonald_ep,_lindroth_rl_(2005)_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_(malacosoma_disstria)_global_change_biology_11:588–599",aspenface_bp_c,,
agrell_et_al_2005,"agrell_j,_kopper_b,_mcdonald_ep,_lindroth_rl_(2005)_co2_and_o3_effects_on_host_plant_preferences_of_the_forest_tent_caterpillar_(malacosoma_disstria)_global_change_biology_11:588–599",aspenface_pt_c,,
ainsworth_et_al_2003,"ainsworth,_e_a,_rogers,_a,_blum,_h,_noèsberger,_j,_&_long,_s_p_(2003)_variation_in_acclimation_of_photosynthesis_in_trifolium_repens_after_eight_years_of_exposure_to_free_air_co2_enrichment_(face) journal_of_experimental_botany_54:2769-2774",swissface_trifolium2_c,,
ainsworth_et_al_2004,"elizabeth_a_ainsworth,_alistair_rogersa,_randall_nelsona,_stephen_p_long",soyfacesoy2_c,,
albaugh_et_al_1998,"albaugh_et_al,_1998_leaf_area_and_above-_and_belowground_growth_responses_of_loblolly_pine_to_nutrient_and_water_additions_forest_science_44,_317-328",setres_f,,
albaugh_et_al_1998,"albaugh_et_al,_1998_leaf_area_and_above-_and_belowground_growth_responses_of_loblolly_pine_to_nutrient_and_water_additions_forest_science_44,_317-328",setres_h,,
